commodity_name,state,district,market,min_price,max_price,modal_price,date,year,month,day,day_of_week,max_price_lag1,max_price_lag7,min_price_lag1,min_price_lag7,modal_price_lag1,modal_price_lag7,max_price_7day_avg,min_price_7day_avg,modal_price_7day_avg
Grapes,Maharashtra,Pune,Pune,0.3308270676691729,0.6891459512675362,0.5072484778196579,2019-05-22,2019,5,22,2,,,,,,,,,
Raddish,Himachal Pradesh,Solan,Solan(Nalagarh),0.13533834586466165,0.14767413241447205,0.1448245868367643,2019-05-25,2019,5,25,5,0.6891459512675362,,0.3308270676691729,,0.5072484778196579,,,,
Capsicum,Himachal Pradesh,Bilaspur,Bilaspur,0.2706766917293233,0.4430223972434162,0.3767758770658162,2019-07-03,2019,7,3,2,0.14767413241447205,,0.13533834586466165,,0.1448245868367643,,,,
Banana,Uttar Pradesh,Ballia,Ballia,0.4105263157894737,0.3544179177947329,0.4057697883444477,2019-06-21,2019,6,21,4,0.4430223972434162,,0.2706766917293233,,0.3767758770658162,,,,
Cucumbar(Kheera),Haryana,Ambala,Shahzadpur,0.15037593984962405,0.2215111986217081,0.1448245868367643,2019-06-18,2019,6,18,1,0.3544179177947329,,0.4105263157894737,,0.4057697883444477,,,,
Bottle+gourd,Uttar Pradesh,Auraiya,Auraiya,0.07518796992481203,0.07383706620723603,0.081037982023775,2019-06-15,2019,6,15,5,0.2215111986217081,,0.15037593984962405,,0.1448245868367643,,,,
Bitter+gourd,Odisha,Mayurbhanja,Betnoti,0.5263157894736842,0.4922471080482402,0.5507393447376051,2019-05-22,2019,5,22,2,0.07383706620723603,,0.07518796992481203,,0.081037982023775,,0.4378596982423392,0.2915800415800415,0.33138496509173565
Litchi,Uttar Pradesh,Muzaffarnagar,Shamli,0.5714285714285714,0.5168594634506521,0.5797332560162366,2019-06-17,2019,6,17,0,0.4922471080482402,56.0,0.5263157894736842,22.0,0.5507393447376051,35.0,0.39430704619692,0.34702009702009706,0.3476213671050493
Banana,Punjab,Gurdaspur,Dinanagar,0.2706766917293233,0.2830420871277381,0.31878805450855324,2019-06-10,2019,6,10,0,0.5168594634506521,12.0,0.5714285714285714,9.0,0.5797332560162366,10.0,0.4285269870897494,0.3782051282051283,0.3865887319370026
Water+Melon,Punjab,Faridkot,Faridkot,0.045112781954887216,0.06153088850603002,0.057842853000869825,2019-05-29,2019,5,29,2,0.2830420871277381,36.0,0.2706766917293233,18.0,0.31878805450855324,26.0,0.3320889718463212,0.3262300762300762,0.31514856307842176
Pumpkin,Uttar Pradesh,Ghazipur,Gazipur,0.23909774436090225,0.1981294609894167,0.23180632067265877,2019-05-28,2019,5,28,1,0.06153088850603002,28.8,0.045112781954887216,27.3,0.057842853000869825,28.0,0.29258049463369085,0.28672903672903677,0.2761811982464685
Wheat,Karnataka,Bidar,Basava Kalayana,0.2857142857142857,0.2830420871277381,0.28979414322992175,2019-06-13,2019,6,13,3,0.1981294609894167,18.0,0.23909774436090225,10.0,0.23180632067265877,10.0,0.3081350132213405,0.31791406791406795,0.30865400227309625
Lemon,Uttar Pradesh,Firozabad,Tundla,0.7669172932330827,0.6399212404627123,0.7464482458683677,2019-06-12,2019,6,12,2,0.2830420871277381,6.0,0.2857142857142857,5.0,0.28979414322992175,5.6,0.4512365842277179,0.4773042273042273,0.4577041727553173
Wheat,Madhya Pradesh,Rajgarh,Narsinghgarh,0.26766917293233083,0.23627861186315527,0.26224992751522186,2019-06-11,2019,6,11,1,0.6399212404627123,40.0,0.7669172932330827,35.0,0.7464482458683677,38.0,0.3865297869030952,0.41770616770616764,0.3930832927423282
Carrot,Jammu and Kashmir,Srinagar,Parimpore,0.22556390977443608,0.20920502092050208,0.23180632067265877,2019-06-19,2019,6,19,2,0.23627861186315527,42.0,0.26766917293233083,38.0,0.26224992751522186,40.0,0.3087571939648466,0.338011088011088,0.31514856307842176
Bitter+gourd,Gujarat,Junagarh,Talalagir,0.2706766917293233,0.2461235540241201,0.275297187590606,2019-05-23,2019,5,23,3,0.20920502092050208,23.0,0.22556390977443608,18.0,0.23180632067265877,22.0,0.29942448281225675,0.338011088011088,0.3054067218704335
Mustard,Uttar Pradesh,Siddharth Nagar,Soharatgarh,0.631578947368421,0.5193206989908934,0.6101768628587997,2019-05-26,2019,5,26,6,0.2461235540241201,5.0,0.2706766917293233,3.0,0.275297187590606,4.0,0.4151501011043706,0.4731462231462231,0.42912810521188494
Paddy(Dhan)(Common),Chattisgarh,Dhamtari,Boraee,0.19548872180451127,0.16613339896628107,0.18831545375471154,2019-06-15,2019,6,15,5,0.5193206989908934,16.1,0.631578947368421,15.9,0.6101768628587997,16.0,0.4070617514387926,0.4630977130977132,0.41938626400389667
Mustard,Uttar Pradesh,Lucknow,Lucknow,0.6203007518796992,0.5168594634506521,0.6043780806030734,2019-05-23,2019,5,23,3,0.16613339896628107,23.0,0.19548872180451127,19.0,0.18831545375471154,20.0,0.4661689220718615,0.5401940401940403,0.48985224874167876
Cauliflower,Uttar Pradesh,Agra,Agra,0.2556390977443609,0.22766428747231107,0.2579008408234271,2019-05-22,2019,5,22,2,0.5168594634506521,52.0,0.6203007518796992,51.0,0.6043780806030734,51.5,0.3619536475346085,0.4223839223839224,0.3804188991719434
Pumpkin,Kerala,Ernakulam,Angamaly,0.39097744360902253,0.3691853310361801,0.4057697883444477,2019-05-25,2019,5,25,5,0.22766428747231107,19.2,0.2556390977443609,17.8,0.2579008408234271,18.1,0.3955514076839319,0.4507969507969508,0.41256697515830487
Banana+-+Green,Uttar Pradesh,Mau(Maunathbhanjan),Mau,0.18045112781954886,0.15998031011567806,0.18251667149898523,2019-05-24,2019,5,24,4,0.3691853310361801,17.0,0.39097744360902253,15.0,0.4057697883444477,16.0,0.3831077928138121,0.44040194040194036,0.40152622178925146
Maize,Karnataka,Dharwad,Dharwar,0.3172932330827068,0.2707359094265321,0.31226442447086117,2019-05-24,2019,5,24,4,0.15998031011567806,20.0,0.18045112781954886,18.0,0.18251667149898523,19.0,0.38932960024887203,0.4511434511434512,0.40980678681604144
Cabbage,Gujarat,Bharuch,Bharuch,0.12030075187969924,0.14767413241447205,0.1448245868367643,2019-05-27,2019,5,27,0,0.2707359094265321,42.2,0.3172932330827068,42.0,0.31226442447086117,42.1,0.29538030797946785,0.33333333333333337,0.3055690858905665
Soyabean,Madhya Pradesh,Mandsaur,Piplya,0.5443609022556392,0.4684961850849126,0.5391417802261526,2019-06-14,2019,6,14,4,0.14767413241447205,13.5,0.12030075187969924,13.0,0.1448245868367643,13.0,0.3718152123191785,0.4137214137214138,0.38415327163500557
Mango,Uttar Pradesh,Auraiya,Auraiya,0.41353383458646614,0.3630322421855771,0.4130182661641056,2019-07-05,2019,7,5,4,0.4684961850849126,42.0,0.5443609022556392,41.25,0.5391417802261526,41.7,0.3329289158500542,0.36607761607761613,0.34128917031985706
White+Peas,Gujarat,Rajkot,Gondal,0.5458646616541353,0.723603248830913,0.7797912438387938,2019-06-11,2019,6,11,1,0.3630322421855771,18.5,0.41353383458646614,17.0,0.4130182661641056,17.8,0.45829833566651074,0.43295218295218296,0.4581912648157167
Banana+-+Green,Uttar Pradesh,Bareilly,Bareilly,0.17293233082706766,0.15382722126507506,0.1738184981153958,2019-05-25,2019,5,25,5,0.723603248830913,30.0,0.5458646616541353,26.0,0.7797912438387938,28.0,0.40385752060973684,0.38270963270963276,0.4062347783731125
Raddish,Uttar Pradesh,Chitrakut,Karvi,0.14812030075187968,0.13536795471326604,0.15207306465642217,2019-05-24,2019,5,24,4,0.15382722126507506,13.0,0.17293233082706766,12.0,0.1738184981153958,12.6,0.397635713174677,0.37525987525987525,0.3994154895275206
Guar,Maharashtra,Aurangabad,Aurangabad,0.18045112781954886,0.46763475264582816,0.3622789214265005,2019-06-10,2019,6,10,0,0.13536795471326604,22.0,0.14812030075187968,21.1,0.15207306465642217,21.55,0.4474101726551561,0.34372834372834377,0.41061860691670715
Cucumbar(Kheera),Uttar Pradesh,Jaunpur,Shahganj,0.24661654135338343,0.2215111986217081,0.2521020585677008,2019-06-10,2019,6,10,0,0.46763475264582816,12.0,0.18045112781954886,8.0,0.3622789214265005,10.0,0.46607559496033574,0.3728343728343728,0.4346484818964115
Cotton,Gujarat,Junagarh,Visavadar,0.8127819548872179,0.7402165887275411,0.8276311974485359,2019-05-28,2019,5,28,1,0.2215111986217081,38.07,0.24661654135338343,36.2,0.2521020585677008,37.2,0.5347643490433966,0.4346846846846847,0.49926936190940074
Peas+Wet,Himachal Pradesh,Una,Una,0.45112781954887216,0.6153088850603002,0.5797332560162366,2019-06-12,2019,6,12,2,0.7402165887275411,29.5,0.8127819548872179,27.5,0.8276311974485359,28.5,0.5985378752527606,0.4433471933471934,0.5366130865400226
Cluster+beans,Kerala,Kozhikode(Calicut),Palayam,0.2556390977443609,0.23381737632291408,0.26080023195129026,2019-05-25,2019,5,25,5,0.6153088850603002,58.8,0.45112781954887216,36.3,0.5797332560162366,53.8,0.4747239072950689,0.37647262647262647,0.42036044812469553
Banana,Uttar Pradesh,Bahraich,Ruperdeeha,0.18045112781954886,0.15998031011567806,0.17744273702522473,2019-05-25,2019,5,25,5,0.23381737632291408,12.5,0.2556390977443609,11.5,0.26080023195129026,12.0,0.47627935915383396,0.3782051282051283,0.42117226822536113
Banana,Gujarat,Mehsana,Mehsana(Mehsana Veg),0.18796992481203006,0.17228648781688405,0.1955639315743694,2019-05-28,2019,5,28,1,0.15998031011567806,11.0,0.18045112781954886,9.85,0.17744273702522473,10.5,0.4856120703064238,0.3873873873873874,0.4309141094333494
Paddy(Dhan)(Common),Tamil Nadu,Kancheepuram,Chengalpattu,0.20090225563909772,0.1869308392813192,0.2068715569730357,2019-05-22,2019,5,22,2,0.17228648781688405,38.0,0.18796992481203006,12.0,0.1955639315743694,25.0,0.4146523565095657,0.39209979209979207,0.3961032635168046
Garlic,Uttar Pradesh,Muzaffarnagar,Kadhle,0.43609022556390975,0.3691853310361801,0.42751522180342133,2019-05-22,2019,5,22,2,0.1869308392813192,18.0,0.20090225563909772,16.4,0.2068715569730357,17.4,0.4519832011199251,0.4357588357588358,0.43539535638902405
Karbuja(Musk+Melon),Haryana,Sirsa,kalanwali,0.12030075187969924,0.09844942160964804,0.1158306755581328,2019-05-30,2019,5,30,3,0.3691853310361801,60.15,0.43609022556390975,54.05,0.42751522180342133,57.1,0.2897495722507386,0.2761954261954262,0.2759538886182821
Banana+-+Green,Uttrakhand,UdhamSinghNagar,Kashipur,0.13533834586466165,0.12306177701206004,0.13757610901710643,2019-06-11,2019,6,11,1,0.09844942160964804,50.0,0.12030075187969924,30.0,0.1158306755581328,40.0,0.16531342354954093,0.20343035343035337,0.1769118363370676
Castor+Seed,Gujarat,Banaskanth,Dhanera,0.7601503759398496,0.6442284026581343,0.7457233980864019,2019-06-18,2019,6,18,1,0.12306177701206004,19.0,0.13533834586466165,17.0,0.13757610901710643,18.0,0.2690620625291644,0.3196812196812197,0.2855333658061373
Bitter+gourd,Odisha,Nayagarh,Sarankul,0.5112781954887218,0.4430223972434162,0.5072484778196579,2019-06-24,2019,6,24,0,0.6442284026581343,13.0,0.7601503759398496,12.0,0.7457233980864019,12.25,0.3406128480323531,0.3959112959112959,0.3594089949667153
Brinjal,Uttar Pradesh,Sitapur,Sitapur,0.14436090225563908,0.13536795471326604,0.15352276022035374,2019-05-27,2019,5,27,0,0.4430223972434162,14.0,0.5112781954887218,12.5,0.5072484778196579,13.5,0.33128013687976327,0.3858627858627859,0.3499918817989931
Grapes,Uttar Pradesh,Etah,Etah,0.8270676691729323,0.7014521289687422,0.8116845462452885,2019-05-24,2019,5,24,4,0.13536795471326604,15.19,0.14436090225563908,13.36,0.15352276022035374,14.28,0.46134702130969024,0.5301455301455302,0.485468420198084
Castor+Seed,Gujarat,Kachchh,Bachau,0.7556390977443609,0.6854540979571745,0.8044360684256306,2019-05-28,2019,5,28,1,0.7014521289687422,30.0,0.8270676691729323,29.0,0.8116845462452885,29.5,0.5412972468502097,0.6037768537768538,0.5698977106673161
Mousambi(Sweet+Lime),Uttar Pradesh,Ballia,Ballia,0.49624060150375937,0.41841004184100417,0.4855030443606843,2019-06-15,2019,6,15,5,0.6854540979571745,8.0,0.7556390977443609,8.0,0.8044360684256306,8.0,0.6221807435059883,0.6904019404019405,0.6527033609352167
Garlic,Maharashtra,Pune,Pune,0.5263157894736842,0.9844942160964804,0.724702812409394,2019-05-22,2019,5,22,2,0.41841004184100417,10.0,0.49624060150375937,9.0,0.4855030443606843,9.5,0.8399440037330841,0.7804920304920304,0.784218217243059
