commodity_name,state,district,market,min_price,max_price,modal_price,date,year,month,day,day_of_week,max_price_lag1,max_price_lag7,min_price_lag1,min_price_lag7,modal_price_lag1,modal_price_lag7,max_price_7day_avg,min_price_7day_avg,modal_price_7day_avg
Linseed,Uttar Pradesh,Sultanpur,Sultanpur,0.6917293233082706,0.5906965296578882,0.6710640765439257,2019-05-22,2019,5,22,2,0.3445729756337681,30.8,0.3759398496240601,30.2,0.3840243548854741,30.55,0.5399906672888473,0.5402979902979904,0.5227147264166261
Gur(Jaggery),Uttar Pradesh,Firozabad,Tundla,0.3759398496240601,0.3138075313807531,0.3651783125543636,2019-05-22,2019,5,22,2,0.172286487816884,17.65,0.1804511278195488,16.4,0.1883154537547115,17.0,0.4014621247472388,0.4702009702009704,0.4253937327488228
Ashgourd,Kerala,Kozhikode(Calicut),Palayam,0.1052631578947368,0.110755599310854,0.1158306755581328,2019-05-22,2019,5,22,2,0.2707359094265321,8.0,0.150375939849624,7.5,0.2318063206726587,7.8,0.422647379063618,0.3889466389466389,0.3719759701250202
Onion,Kerala,Thirssur,Chavakkad,0.3007518796992481,0.2953482648289441,0.333285010147869,2019-05-22,2019,5,22,2,0.4449913856756091,22.36,0.538345864661654,18.4,0.5217454334589736,19.05,0.3176543785969824,0.3002425502425503,0.3018347134275044
Cabbage,Punjab,Gurdaspur,Gurdaspur,0.1203007518796992,0.110755599310854,0.1230791533777906,2019-05-22,2019,5,22,2,0.2953482648289441,15.0,0.3007518796992481,14.0,0.333285010147869,14.5,0.2989889562918027,0.2794525294525294,0.2823510310115278
Bitter+gourd,Rajasthan,Udaipur,Udaipur(F&V),0.150375939849624,0.2461235540241201,0.217309365033343,2019-05-22,2019,5,22,2,0.6167856263844449,9.0,0.4648120300751879,7.0,0.7216584517251378,8.0,0.4206875097215741,0.3623007623007622,0.4148075986361421
Papaya,Uttar Pradesh,Jaunpur,Jaunpur,0.2962406015037593,0.2504307162195422,0.2897941432299217,2019-05-22,2019,5,22,2,0.2707359094265321,36.16,0.075187969924812,35.8,0.1955639315743694,36.0,0.3279514699020066,0.2198891198891198,0.3027764247442767
Maize,Maharashtra,Dhule,Dondaicha,0.2633082706766917,0.2585527935023382,0.2971875906059728,2019-05-22,2019,5,22,2,0.12306177701206,48.0,0.1353383458646616,46.0,0.1375761090171064,47.0,0.518960958158345,0.430907830907831,0.4731287546679655
Capsicum,Haryana,Panipat,Samalkha,0.4511278195488721,0.4307162195422102,0.4637576109017107,2019-05-22,2019,5,22,2,0.3919517597834112,21.01,0.4759398496240601,17.51,0.4601333719918817,20.51,0.2616270026442682,0.306999306999307,0.2747199220652703
Raddish,Himachal Pradesh,Kangra,Kangra(Jassour),0.150375939849624,0.147674132414472,0.15932154247608,2019-05-22,2019,5,22,2,0.4307162195422102,18.75,0.4511278195488721,18.25,0.4637576109017107,18.5,0.2406284025509411,0.2784130284130284,0.2503653190452996
Onion,Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),0.2105263157894736,0.18459266551809,0.217309365033343,2019-05-22,2019,5,22,2,0.086143243908442,19.1,0.075187969924812,18.5,0.0868367642795013,18.8,0.4447036864209053,0.4651767151767152,0.4494236077285273
Sponge+gourd,Uttar Pradesh,Farukhabad,Farukhabad,0.1052631578947368,0.104602510460251,0.1158306755581328,2019-05-22,2019,5,22,2,0.104602510460251,40.0,0.1052631578947368,36.0,0.1158306755581328,38.0,0.1908539430704617,0.2397782397782399,0.2096119499918818
Raddish,Uttar Pradesh,Agra,Agra,0.112781954887218,0.110755599310854,0.1158306755581328,2019-05-22,2019,5,22,2,0.1993600787595372,25.0,0.2180451127819548,23.0,0.217309365033343,24.0,0.3865297869030952,0.4501039501039502,0.4059100503328462
Wheat,Uttar Pradesh,Varanasi,Varanasi(Grain),0.2744360902255639,0.2301255230125522,0.2673238619889823,2019-05-22,2019,5,22,2,0.233817376322914,37.5,0.2556390977443609,37.5,0.2608002319512902,37.5,0.3644423705086327,0.2768537768537769,0.34713427504465
Cucumbar(Kheera),Uttar Pradesh,Meerut,Meerut,0.1082706766917293,0.0959881860694068,0.1085821977384749,2019-05-22,2019,5,22,2,0.5537779965542702,17.0,0.5263157894736842,15.8,0.615975645114526,16.0,0.3647534608803857,0.2553707553707554,0.3458353628835849
Groundnut,Andhra Pradesh,Kurnool,Kurnool,0.6312781954887218,0.6713019936007875,0.69237460133372,2019-05-22,2019,5,22,2,0.3199606202313561,19.0,0.2345864661654135,17.0,0.3042910988692375,18.0,0.3851298802302068,0.344005544005544,0.3645721708069491
Banana,Haryana,Panipat,Panipat,0.1428571428571428,0.116908688161457,0.1375761090171064,2019-05-22,2019,5,22,2,0.4590204282549839,9.8,0.5112781954887218,9.4,0.540591475790084,9.6,0.4420594182610048,0.3989258489258489,0.4254586783568761
Rice,Uttar Pradesh,Jhansi,Gurusarai,0.3383458646616541,0.2891951759783411,0.3347347057118006,2019-05-22,2019,5,22,2,0.055377799655427,12.2,0.0526315789473684,11.5,0.0578428530008698,11.85,0.3399595582516719,0.3840956340956343,0.3517778860204578
Brinjal,Madhya Pradesh,Shajapur,Nalkehda,0.2556390977443609,0.2461235540241201,0.2680487097709481,2019-05-22,2019,5,22,2,0.2584297317253261,15.0,0.3007518796992481,9.0,0.2980574079443317,10.0,0.4414372375174989,0.4395356895356895,0.4322130215944146
Cauliflower,Kerala,Alappuzha,Harippad,0.6015037593984962,0.6153088850603002,0.6522180342128153,2019-05-22,2019,5,22,2,0.5168594634506521,11.4,0.5864661654135338,5.0,0.5797332560162366,9.3,0.4823456214030175,0.4499306999307,0.4773502191914273
Water+Melon,Himachal Pradesh,Sirmore,Paonta Sahib,0.1203007518796992,0.12306177701206,0.1303276311974485,2019-05-22,2019,5,22,2,0.6153088850603002,39.0,0.6015037593984962,20.0,0.6522180342128153,35.0,0.3921294135946493,0.4083506583506584,0.3929209287221951
Rice,Uttar Pradesh,Kanpur,Choubepur,0.3872180451127819,0.3291902535072606,0.3796752681936793,2019-05-22,2019,5,22,2,0.196898843219296,22.0,0.2406015037593984,21.5,0.2318063206726587,21.7,0.375486078705864,0.3253638253638254,0.3398278941386587
Banana,Haryana,Sonipat,Sonepat,0.3609022556390977,0.3076544425301501,0.3477819657871847,2019-05-22,2019,5,22,2,0.2461235540241201,40.0,0.150375939849624,38.0,0.217309365033343,39.0,0.2350287758593871,0.2170824670824671,0.2154570547166748
Grapes,Uttar Pradesh,Hardoi,Shahabad(New Mandi),0.6015037593984962,0.502092050209205,0.5855320382719629,2019-05-22,2019,5,22,2,0.2584297317253261,42.35,0.3007518796992481,42.15,0.3042910988692375,42.25,0.5125213874630579,0.5088357588357588,0.4979704497483357
Potato,Uttar Pradesh,Pillibhit,Puranpur,0.1022556390977443,0.0959881860694068,0.1056828066106117,2019-05-22,2019,5,22,2,0.147674132414472,45.0,0.150375939849624,30.0,0.1448245868367643,40.0,0.284803235339866,0.2519057519057519,0.247442766682903
Bitter+gourd,Uttar Pradesh,Saharanpur,Chutmalpur,0.1428571428571428,0.129214865862663,0.1448245868367643,2019-05-22,2019,5,22,2,0.172286487816884,14.2,0.1804511278195488,12.5,0.1883154537547115,13.5,0.1180587960802613,0.1249133749133749,0.1170644585159928
Soyabean,Madhya Pradesh,Dhar,Badnawar,0.4488721804511278,0.4719419148412503,0.5478399536097419,2019-05-22,2019,5,22,2,0.3691853310361801,45.0,0.3759398496240601,29.0,0.4057697883444477,37.0,0.5494478145901385,0.4987872487872488,0.5468420198084105
Mango+(Raw-Ripe),Karnataka,Chikmagalur,Tarikere,0.0601503759398496,0.049224710804824,0.0578428530008698,2019-05-22,2019,5,22,2,0.3015013536795471,9.0,0.3654135338345864,5.0,0.353580748042911,7.0,0.3011354798568982,0.3083853083853086,0.2898197759376522
Rice,West Bengal,Medinipur(W),Ghatal,0.3609022556390977,0.3076544425301501,0.3550304436068426,2019-05-22,2019,5,22,2,0.172286487816884,60.0,0.112781954887218,40.0,0.15932154247608,40.0,0.2098304557473944,0.2288634788634788,0.2154570547166746
Green+Chilli,Uttar Pradesh,Hardoi,Hardoi,0.6661654135338345,0.5476249077036672,0.6435198608292259,2019-05-22,2019,5,22,2,0.3076544425301501,13.5,0.3007518796992481,13.5,0.2897941432299217,13.5,0.5596515787836367,0.6016978516978517,0.5663257022243869
Tomato,Maharashtra,Nagpur,Kalmeshwar,0.4308270676691729,0.3937976864385921,0.4420121774427371,2019-05-22,2019,5,22,2,0.5476249077036672,14.05,0.6661654135338345,14.0,0.6435198608292259,14.0,0.6154923005132993,0.6524601524601524,0.6199058288683228
Cabbage,Uttar Pradesh,Muzaffarnagar,Kadhle,0.0601503759398496,0.0566084174255476,0.0621919396926645,2019-05-22,2019,5,22,2,0.3076544425301501,15.0,0.225563909774436,14.0,0.2897941432299217,14.6,0.4169544252605382,0.4005544005544005,0.4060074687449261
Onion,Uttar Pradesh,Mathura,Kosikalan,0.1413533834586466,0.1304454836327836,0.1448245868367643,2019-05-22,2019,5,22,2,0.110755599310854,40.05,0.075187969924812,32.15,0.101333719918817,35.0,0.239384041063929,0.2416839916839916,0.2277967202467932
Pumpkin,Odisha,Kendrapara,Gopa,0.3007518796992481,0.2584297317253261,0.2897941432299217,2019-05-22,2019,5,22,2,0.2953482648289441,15.0,0.2706766917293233,7.0,0.3042910988692375,10.0,0.3124902784258827,0.2832640332640332,0.2888455918168534
Wheat,Rajasthan,Tonk,Tonk,0.2679699248120301,0.2487078513413733,0.2738474920266744,2019-05-22,2019,5,22,2,0.18459266551809,31.0,0.150375939849624,30.0,0.1448245868367643,30.9,0.201462124747239,0.1748787248787249,0.1677220327975321
Coriander(Leaves),Gujarat,Dahod,Dahod(Veg. Market),0.3007518796992481,0.6153088850603002,0.5797332560162366,2019-05-22,2019,5,22,2,0.1821314299778488,40.0,0.2105263157894736,30.0,0.2086111916497535,35.0,0.3698864520143102,0.3302148302148301,0.3553823672674134
Banana+-+Green,Kerala,Alappuzha,Aroor,0.6917293233082706,0.5906965296578882,0.6812119454914468,2019-05-22,2019,5,22,2,0.104602510460251,22.75,0.1052631578947368,22.5,0.1158306755581328,22.64,0.377663711308135,0.3170478170478171,0.3547653839909076
Mango,Odisha,Gajapati,Kasinagar,0.4511278195488721,0.4922471080482402,0.5797332560162366,2019-05-22,2019,5,22,2,0.6645335958651243,42.0,0.6766917293233082,37.0,0.724702812409394,40.0,0.4000622180743506,0.4028066528066528,0.4111056989771066
Cucumbar(Kheera),Odisha,Mayurbhanja,Betnoti,0.2706766917293233,0.2461235540241201,0.275297187590606,2019-05-22,2019,5,22,2,0.2461235540241201,36.7,0.225563909774436,35.3,0.2463032763119745,36.0,0.2533519987556383,0.2555440055440058,0.2450073063809059
Cucumbar(Kheera),Punjab,Ferozpur,Mamdot,0.0300751879699248,0.036918533103618,0.0360974195418962,2019-05-22,2019,5,22,2,0.172286487816884,36.01,0.1804511278195488,30.5,0.2028124093940272,35.4,0.1749883341110591,0.2136174636174636,0.1917519077772364
Cotton,Gujarat,Rajkot,Dhoraji,0.8240601503759397,0.7451390598080235,0.8703972165845173,2019-05-22,2019,5,22,2,0.067683977356633,60.02,0.069172932330827,60.0,0.0723398086401855,60.01,0.2766526675999377,0.3220720720720721,0.2987822698490013
Snakeguard,Kerala,Alappuzha,Kayamkulam,0.3759398496240601,0.3322667979325621,0.3767758770658162,2019-05-22,2019,5,22,2,0.18459266551809,40.1,0.1052631578947368,39.0,0.1738184981153958,39.6,0.2770259760460411,0.2856895356895358,0.2786166585484656
Tomato,Uttar Pradesh,Lakhimpur,Lakhimpur,0.2977443609022556,0.2547378784149642,0.2941432299217165,2019-05-22,2019,5,22,2,0.18459266551809,9.0,0.1203007518796992,8.0,0.1665700202957379,8.5,0.2170788614092393,0.2255717255717255,0.2252313687286896
Soyabean,Maharashtra,Hingoli,Hingoli,0.5308270676691729,0.4516367216342604,0.5217454334589736,2019-05-22,2019,5,22,2,0.4061038641397981,41.5,0.4661654135338345,40.5,0.4637576109017107,41.0,0.3799968890962822,0.4138946638946641,0.3877252800779347
Paddy(Dhan)(Common),Karnataka,Davangere,Davangere,0.225563909774436,0.2516613339896628,0.2709481008988113,2019-05-22,2019,5,22,2,0.055377799655427,43.07,0.0601503759398496,43.07,0.0614670919106987,43.07,0.3698864520143102,0.2489604989604989,0.304919629810034
